"sn","chinese","ph","ty","hy","g2","wg","last_name_weight","first_name_weight"
1,"\344\270\200","\343\204\247","yi","yi","yi","yi",0,0
2,"\344\271\231","\343\204\247\313\207","yi","yi","yi","yi",0,0
3,"\344\270\201","\343\204\211\343\204\247\343\204\245","ding","ding","ding","ting",11,0
4,"\344\270\203","\343\204\221\343\204\247","ci","qi","chi","chi",0,0
5,"\344\271\203","\343\204\213\343\204\236\313\207","nai","nai","nai","nai",0,0
6,"\344\271\235","\343\204\220\343\204\247\343\204\241\313\207","jiou","jiu","jiou","chiu",0,0
7,"\344\272\206","\343\204\214\343\204\234\313\231","le","le","le","le",0,0
8,"\344\272\214","\343\204\246\313\213","er","er","er","erh",0,0
9,"\344\272\272","\343\204\226\343\204\243\313\212","ren","ren","ren","jen",0,0
10,"\345\204\277","\343\204\226\343\204\243\313\212","ren","ren","ren","jen",0,0
11,"\345\205\245","\343\204\226\343\204\250\313\213","ru","ru","ru","ju",0,0
12,"\345\205\253","\343\204\205\343\204\232","ba","ba","ba","pa",0,0
13,"\345\207\240","\343\204\220\343\204\247","ji","ji","ji","chi",0,0
14,"\345\210\200","\343\204\211\343\204\240","dao","dao","dau","tao",0,0
15,"\345\210\201","\343\204\211\343\204\247\343\204\240","diao","diao","diau","tiao",10,0
16,"\345\212\233","\343\204\214\343\204\247\313\213","li","li","li","li",10,1
17,"\345\214\225","\343\204\205\343\204\247\313\207","bi","bi","bi","pi",0,0
18,"\345\215\201","\343\204\225\313\212","shih","shi","shr","shih",0,0
19,"\345\215\234","\343\204\205\343\204\250\313\207","bu","bu","bu","pu",10,0
20,"\345\217\210","\343\204\247\343\204\241\313\213","you","you","you","yu",0,0
21,"\344\270\211","\343\204\231\343\204\242","san","san","san","san",0,0
22,"\344\270\213","\343\204\222\343\204\247\343\204\232\313\213","sia","xia","shia","hsia",0,0
23,"\344\270\210","\343\204\223\343\204\244\313\213","jhang","zhang","jang","chang",0,0
24,"\344\270\212","\343\204\225\343\204\244\313\207","shang","shang","shang","shang",0,0
25,"\344\270\253","\343\204\247\343\204\232","ya","ya","ya","ya",0,0
26,"\344\270\270","\343\204\250\343\204\242\313\212","wan","wan","wan","wan",0,0
